1046;czech-republic/fnl;czech-republic-fnl;FNL;CZECH REPUBLIC: FNL;52
301;czech-republic/national-cup;czech-republic-national-cup;National cup;CZECH REPUBLIC: National cup;52
3932;czech-republic/juniorska-liga-msfl;czech-republic-juniorska-liga-msfl;Juniorska Liga, MSFL;CZECH REPUBLIC: Juniorska Liga, MSFL;52
3116;czech-republic/1-liga-relegation-round-women;czech-republic-1-liga-relegation-round-women;1 Liga: Relegation Round - Women;CZECH REPUBLIC: 1 Liga: Relegation Round - Women;52
3114;czech-republic/1-liga-women;czech-republic-1-liga-women;1 Liga - Women;CZECH REPUBLIC: 1 Liga - Women;52
4209;czech-republic/juniorska-liga-relegation-round;czech-republic-juniorska-liga-relegation-round;Juniorska Liga, Relegation Round;CZECH REPUBLIC: Juniorska Liga, Relegation Round;52
3107;czech-republic/juniorska-liga-cfl;czech-republic-juniorska-liga-cfl;Juniorska Liga, CFL;CZECH REPUBLIC: Juniorska Liga, CFL;52
4208;czech-republic/juniorska-liga-championship-round;czech-republic-juniorska-liga-championship-round;Juniorska Liga, Championship round;CZECH REPUBLIC: Juniorska Liga, Championship round;52
4318;czech-republic/3-liga-msfl;czech-republic-3-liga-msfl;3. liga, MSFL;CZECH REPUBLIC: 3. liga, MSFL;52
4472;czech-republic/4-liga-group-a;czech-republic-4-liga-group-a;4. liga, Group A;CZECH REPUBLIC: 4. liga, Group A;52
4319;czech-republic/3-liga-cfl-a;czech-republic-3-liga-cfl-a;3. liga, CFL A;CZECH REPUBLIC: 3. liga, CFL A;52
4473;czech-republic/4-liga-group-b;czech-republic-4-liga-group-b;4. liga, Group B;CZECH REPUBLIC: 4. liga, Group B;52
4581;czech-republic/first-league-championship-round;czech-republic-first-league-championship-round;First League, Championship Round;CZECH REPUBLIC: First League, Championship Round;52
4474;czech-republic/4-liga-group-c;czech-republic-4-liga-group-c;4. liga, Group C;CZECH REPUBLIC: 4. liga, Group C;52
4582;czech-republic/first-league-relegation-round;czech-republic-first-league-relegation-round;First League, Relegation Round;CZECH REPUBLIC: First League, Relegation Round;52
4475;czech-republic/4-liga-group-d;czech-republic-4-liga-group-d;4. liga, Group D;CZECH REPUBLIC: 4. liga, Group D;52
4476;czech-republic/4-liga-group-e;czech-republic-4-liga-group-e;4. liga, Group E;CZECH REPUBLIC: 4. liga, Group E;52
4583;czech-republic/first-league-europa-league-playoffs;czech-republic-first-league-europa-league-playoffs;First League, Europa League Playoffs;CZECH REPUBLIC: First League, Europa League Playoffs;52
4602;czech-republic/4-liga-group-f;czech-republic-4-liga-group-f;4. liga, Group F;CZECH REPUBLIC: 4. liga, Group F;52
4628;czech-republic/3-liga-cfl-b;czech-republic-3-liga-cfl-b;3. liga, CFL B;CZECH REPUBLIC: 3. liga, CFL B;52
94;denmark/division-1;denmark-division-1;Division 1;DENMARK: Division 1;53
210;denmark/superliga;denmark-superliga;Superliga;DENMARK: Superliga;53
3118;denmark/elitedivisionen-championship-round-women;denmark-elitedivisionen-championship-round-women;Elitedivisionen, Championship Round - Women;DENMARK: Elitedivisionen, Championship Round - Women;53
816;denmark/national-cup;denmark-national-cup;National Cup;DENMARK: National Cup;53
3110;denmark/reserve-league-group-3;denmark-reserve-league-group-3;Reserve League, Group 3;DENMARK: Reserve League, Group 3;53
3109;denmark/division-2-group-1;denmark-division-2-group-1;Division 2, Group 1;DENMARK: Division 2, Group 1;53
3117;denmark/elitedivisionen-women;denmark-elitedivisionen-women;Elitedivisionen - Women;DENMARK: Elitedivisionen - Women;53
3318;denmark/division-2-promiotion-round;denmark-division-2-promiotion-round;Division 2, Promiotion round;DENMARK: Division 2, Promiotion round;53
4423;brasil/serie-d;brasil-serie-d;Serie D;BRASIL: Serie D;28
3182;denmark/division-2-group-2;denmark-division-2-group-2;Division 2, Group 2;DENMARK: Division 2, Group 2;53
3500;denmark/reserve-league-2nd-phase-group-stage;denmark-reserve-league-2nd-phase-group-stage;Reserve League, 2nd Phase, Group Stage;DENMARK: Reserve League, 2nd Phase, Group Stage;53
3184;denmark/reserve-league-group-2;denmark-reserve-league-group-2;Reserve League, Group 2;DENMARK: Reserve League, Group 2;53
3582;denmark/superliga-championship-round;denmark-superliga-championship-round;Superliga, Championship Round;DENMARK: Superliga, Championship Round;53
3185;denmark/reserve-league-group-1;denmark-reserve-league-group-1;Reserve League, Group 1;DENMARK: Reserve League, Group 1;53
3583;denmark/superliga-relegation-round;denmark-superliga-relegation-round;Superliga, Relegation Round;DENMARK: Superliga, Relegation Round;53
4260;denmark/superliga-playoffs;denmark-superliga-playoffs;Superliga, Playoffs;DENMARK: Superliga, Playoffs;53
